epiweek,cases,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,pressure_min,pressure_med,pressure_max,rel_humid_min,rel_humid_med,rel_humid_max,thermal_range,rainy_days
201001,25,22.9125971428571,26.451499047619,30.8519742857143,0.71994,5.14464666666667,16.0430266666667,0.967018095238095,0.969366666666667,0.97140380952381,49.2507971428571,67.3528276190476,81.5605819047619,7.93937714285714,7
201002,29,23.5962066666667,26.860559047619,31.2186685714286,0.19948,3.39082,9.72146,0.968051428571429,0.970478095238095,0.972677142857143,50.4101028571429,67.1318847619048,80.556900952381,7.6224619047619,7
201003,28,23.474380952381,27.0494904761905,31.4070542857143,0.130113333333333,2.35238,7.39197333333333,0.967665714285714,0.97036,0.972501904761905,48.6707438095238,67.1401142857143,82.4207180952381,7.93267333333333,7
201004,38,23.6077561904762,27.7601552380952,32.8110266666667,0.0718533333333333,0.64354,2.14866666666667,0.965710476190476,0.968607619047619,0.970922857142857,40.9825323809524,59.3461838095238,75.55702,9.20327047619048,7
201005,68,24.354479047619,27.0230180952381,30.6598533333333,0.380853333333333,5.29972,15.8013333333333,0.966920952380952,0.96916380952381,0.971180952380952,54.6046876190476,70.0945904761905,81.8840104761905,6.30537428571429,7
201006,98,23.7638076190476,27.5843504761905,32.5057695238095,0.285753333333333,2.54159333333333,8.17109333333333,0.966060952380952,0.968372380952381,0.970490476190476,43.9493152380952,62.4843076190476,77.5692371428572,8.7419619047619,7
201007,105,24.1958485714286,28.0367580952381,32.6727238095238,0.18472,4.78910666666667,14.2904466666667,0.96639619047619,0.96895619047619,0.971397142857143,45.2800780952381,62.1273219047619,77.3234923809524,8.47687523809524,6
201008,116,23.9044714285714,27.1353580952381,31.5436161904762,2.95510666666667,20.6473533333333,56.5870266666667,0.966489523809524,0.969299047619048,0.971602857142857,56.4302142857143,75.9595742857143,89.834999047619,7.63914476190476,7
201009,184,23.9537142857143,26.9744695238095,30.8058685714286,0.540566666666667,13.9098933333333,40.46728,0.966936190476191,0.969845714285714,0.97236380952381,60.314120952381,77.2889866666667,89.9990066666667,6.85215428571429,7
201010,117,24.1466428571429,27.4634590476191,31.9652580952381,1.82107333333333,11.90844,34.63934,0.966112380952381,0.969031428571429,0.971366666666667,55.7376866666667,75.9501952380952,90.2961923809524,7.81861523809524,7
201011,151,23.6192838095238,26.4501428571429,30.1339466666667,6.28907333333333,35.8134666666667,90.8723466666667,0.967379047619048,0.970166666666667,0.972841904761905,63.3252571428571,79.9675219047619,91.4425609523809,6.51466285714286,7
201012,149,23.4752838095238,27.0148904761905,31.4936980952381,1.74932,12.8030866666667,28.83796,0.966845714285714,0.969834285714286,0.972242857142857,52.0249466666667,70.220479047619,84.0107619047619,8.01841428571429,7
201013,159,23.5612466666667,26.502719047619,30.6146095238095,2.74838,19.6367133333333,52.2461466666667,0.966593333333333,0.969378095238095,0.971574285714286,59.5913885714286,77.4199,89.83428,7.05336285714286,7
201014,254,23.1818980952381,25.4536123809524,28.3822676190476,6.30696666666667,49.5506133333333,126.509,0.967465714285714,0.96998,0.972115238095238,73.5850838095238,86.7748695238095,95.6743295238095,5.20036952380952,7
201015,188,22.8429,24.8511,27.7339247619048,10.5784066666667,65.3671133333333,169.31266,0.967291428571429,0.970057142857143,0.972174285714286,77.7610123809524,90.7575323809524,98.1595685714286,4.89102476190476,7
201016,229,23.0638619047619,25.4919114285714,28.8876695238095,3.89064666666667,46.6725866666667,129.37098,0.967977142857143,0.970688571428571,0.972911428571428,74.6217095238095,89.3847057142857,98.0651276190476,5.82380761904762,7
201017,188,22.8799752380952,24.8268723809524,27.5394895238095,13.30974,80.92706,195.8625,0.968785714285714,0.971282857142857,0.973161904761905,79.0365885714286,91.4827923809524,98.3158847619048,4.65951428571429,7
201018,217,22.6698352380952,24.975700952381,28.1540142857143,8.95538,40.1799,91.8345533333333,0.968356190476191,0.970950476190476,0.972757142857143,73.9378085714286,88.4207114285714,97.3063180952381,5.48417904761905,7
201019,219,22.473360952381,24.1102742857143,26.7014219047619,9.89752666666667,81.43566,227.324886666667,0.969163809523809,0.971411428571428,0.973088571428572,81.8662961904762,93.3487238095238,99.0971580952381,4.22806095238095,7
201020,284,22.8499571428571,24.8320057142857,27.6111295238095,6.89571333333333,64.04056,166.938686666667,0.968068571428571,0.970725714285714,0.972474285714286,80.1888695238095,92.19724,98.9876628571429,4.76117238095238,7
201021,414,22.7945123809524,24.7084885714286,27.5553676190476,11.6749333333333,69.9623733333333,152.030526666667,0.967839047619048,0.970205714285714,0.972040952380952,80.4730961904762,92.5322771428571,99.0239038095238,4.76085523809524,7
201022,584,22.2036285714286,24.5045342857143,27.5469171428571,6.66119333333333,41.7738733333333,111.3494,0.970911428571428,0.97338,0.975205714285714,77.0890666666667,90.764600952381,98.6927838095238,5.34328857142857,7
201023,525,21.8648419047619,24.2666742857143,27.4416714285714,3.31592666666667,33.94092,87.5985933333333,0.970897142857143,0.973599047619048,0.975432380952381,76.4258238095238,90.5521028571429,98.9420314285714,5.57682952380952,7
201024,411,22.0340542857143,24.0940104761905,27.0684952380952,8.07066,59.6628733333333,130.57238,0.969205714285714,0.971952380952381,0.973657142857143,79.9862438095238,92.5511504761905,99.2879247619048,5.03444095238095,7
201025,370,22.1729961904762,24.7437723809524,28.23788,3.97492666666667,24.97266,67.64206,0.969429523809524,0.97177619047619,0.973504761904762,72.1260447619048,88.4114704761905,98.0268752380952,6.06488380952381,7
201026,359,21.9850161904762,23.9266790476191,26.7279161904762,5.91108,40.1556,101.825613333333,0.970118095238095,0.972382857142857,0.973977142857143,80.6060428571429,92.6056285714286,99.1484323809524,4.7429,7
201027,209,21.9638276190476,24.2494780952381,27.364119047619,6.53700666666667,41.4324733333333,97.74352,0.969154285714286,0.9717,0.973278095238095,78.368559047619,91.4439371428571,98.8197638095238,5.40029142857143,7
201028,231,21.8857342857143,24.1088057142857,27.1157047619048,9.78457333333333,42.1134666666667,92.1606066666666,0.968765714285714,0.971521904761905,0.973435238095238,78.5691323809524,91.6365285714286,99.0684885714286,5.22997047619048,7
201029,174,21.3012638095238,23.5963123809524,26.82546,2.37993333333333,23.1640333333333,62.7358866666667,0.971510476190476,0.974165714285714,0.97595619047619,76.7125257142857,89.9989980952381,98.0052314285714,5.52419619047619,7
201030,156,21.8359285714286,24.3041,27.6550666666667,3.34860666666667,27.05004,78.2649666666667,0.968998095238095,0.972018095238095,0.974029523809524,76.42754,90.3874780952381,98.5987857142857,5.8191380952381,7
201031,214,22.2082076190476,24.2454257142857,27.2942838095238,4.19679333333333,32.5800666666667,78.8629,0.969438095238095,0.971651428571429,0.973342857142857,78.8927228571429,91.8535314285714,98.8466780952381,5.08607619047619,7
201032,206,21.6769971428571,24.1293466666667,27.6426714285714,4.89871333333333,30.4734666666667,80.0913133333333,0.970483809523809,0.972991428571429,0.974778095238095,75.4867380952381,90.5287419047619,98.7439123809524,5.96567428571429,7
201033,149,21.8767180952381,24.1147123809524,27.2866142857143,4.67488666666667,29.9333866666667,76.5962266666667,0.970459047619048,0.972951428571429,0.974849523809524,77.5211219047619,91.2137514285714,98.9563952380952,5.40989619047619,7
201034,92,22.1037590476191,25.1123152380952,29.1338228571429,2.37570666666667,16.3364333333333,44.2797066666667,0.968489523809524,0.971385714285714,0.973298095238095,70.4401704761905,88.3952514285714,98.39904,7.03006380952381,7
201035,92,22.6333,26.0937514285714,30.1551723809524,0.4127,6.24589333333333,17.89744,0.968308571428572,0.970764761904762,0.97286380952381,63.0029085714286,83.0820485714286,95.8191523809524,7.52187238095238,7
201036,92,22.0082847619048,24.529320952381,28.0885247619048,4.01652666666667,30.1403733333333,82.42636,0.96915619047619,0.971904761904762,0.974026666666667,74.4693428571429,90.0559419047619,98.8576295238095,6.08024,7
201037,87,22.5566695238095,25.9977676190476,30.2091466666667,2.17638,13.2564666666667,32.0977533333333,0.966712380952381,0.969562857142857,0.971557142857143,64.3725114285714,84.5802314285715,96.8325657142857,7.65247714285714,7
